size,merge,hybrid
500,0,0
600,0,0
700,0,0
800,0,0
900,0,0
1000,0,0
1100,0,0
1200,0,0
1300,0,0
1400,0,0
1500,0,0
1600,0,0
1700,0,0
1800,0,0
1900,0,0
2000,0,0
2100,0,0
2200,0,0
2300,0,0
2400,0,0
2500,0,0
2600,0,0
2700,0,0
2800,0,0
2900,0,0
3000,0,0
3100,0,0
3200,0,0
3300,0,0
3400,0,0
3500,0,0
3600,0,0
3700,0,0
3800,0,0
3900,0,0
4000,0,0
4100,0,0
4200,0,0
4300,0,0
4400,0,0
4500,0,0
4600,0,0
4700,0,0
4800,0,0
4900,0,0
5000,0,0
5100,0,0
5200,0,0
5300,0,0
5400,0,0
5500,0,0
5600,0,0
5700,0,0
5800,0,0
5900,0,0
6000,0,0
6100,0,0
6200,0,0
6300,0,0
6400,0,0
6500,0,0
6600,0,0
6700,0,0
6800,0,0
6900,0,0
7000,0,0
7100,0,0
7200,0,0
7300,0,0
7400,0,0
7500,0,0
7600,0,0
7700,0,0
7800,0,0
7900,0,0
8000,0,0
8100,0,0
8200,1,0
8300,1,0
8400,0,0
8500,0,0
8600,0,0
8700,0,0
8800,0,0
8900,0,0
9000,1,0
9100,1,0
9200,1,0
9300,1,0
9400,1,0
9500,1,0
9600,1,0
9700,1,0
9800,1,0
9900,1,0
10000,1,0
10100,1,0
10200,1,0
10300,1,1
10400,1,0
10500,1,0
10600,1,1
10700,1,1
10800,1,1
10900,2,1
11000,1,1
11100,1,1
11200,1,1
11300,1,1
11400,1,1
11500,1,1
11600,1,1
11700,1,1
11800,1,1
11900,1,1
12000,1,1
12100,1,1
12200,1,1
12300,1,1
12400,1,1
12500,1,1
12600,1,1
12700,1,1
12800,1,1
12900,1,1
13000,1,1
13100,1,1
13200,1,1
13300,1,1
13400,1,1
13500,1,1
13600,1,1
13700,1,1
13800,1,1
13900,1,1
14000,1,1
14100,1,1
14200,1,1
14300,1,1
14400,1,1
14500,1,1
14600,1,1
14700,1,1
14800,1,1
14900,1,1
15000,1,1
15100,1,1
15200,1,1
15300,1,1
15400,1,1
15500,1,1
15600,2,1
15700,2,1
15800,2,1
15900,2,1
16000,2,1
16100,2,1
16200,2,1
16300,2,1
16400,2,1
16500,2,1
16600,2,1
16700,2,1
16800,2,1
16900,2,1
17000,2,1
17100,2,1
17200,2,1
17300,2,1
17400,2,1
17500,2,1
17600,2,1
17700,2,1
17800,2,1
17900,2,1
18000,2,1
18100,2,1
18200,2,1
18300,2,1
18400,2,1
18500,2,1
18600,2,1
18700,2,1
18800,2,1
18900,2,1
19000,2,1
19100,2,1
19200,2,1
19300,2,1
19400,2,1
19500,2,1
19600,2,1
19700,2,2
19800,2,1
19900,2,1
20000,2,2
20100,2,2
20200,2,2
20300,2,2
20400,2,2
20500,2,2
20600,2,2
20700,2,1
20800,2,1
20900,2,1
21000,2,1
21100,2,1
21200,2,1
21300,2,1
21400,2,1
21500,2,1
21600,2,1
21700,2,1
21800,2,1
21900,2,1
22000,2,1
22100,2,2
22200,2,2
22300,2,2
22400,2,2
22500,2,2
22600,2,2
22700,2,2
22800,2,2
22900,2,2
23000,2,2
23100,2,2
23200,2,2
23300,2,2
23400,2,2
23500,2,2
23600,2,2
23700,2,2
23800,2,2
23900,2,2
24000,2,2
24100,2,2
24200,2,2
24300,2,2
24400,2,2
24500,2,2
24600,2,2
24700,2,2
24800,2,2
24900,2,2
25000,2,2
25100,2,2
25200,2,2
25300,2,2
25400,2,2
25500,3,2
25600,3,2
25700,3,2
25800,3,2
25900,3,2
26000,3,2
26100,3,2
26200,3,2
26300,3,2
26400,3,2
26500,3,2
26600,3,2
26700,3,2
26800,3,2
26900,3,2
27000,3,2
27100,3,2
27200,3,2
27300,3,2
27400,3,2
27500,3,2
27600,3,2
27700,3,2
27800,3,2
27900,3,2
28000,3,2
28100,3,2
28200,3,2
28300,3,2
28400,3,2
28500,3,2
28600,3,2
28700,3,2
28800,3,2
28900,3,2
29000,3,2
29100,3,2
29200,3,2
29300,3,2
29400,3,2
29500,3,2
29600,3,2
29700,3,2
29800,3,2
29900,3,2
30000,3,2
30100,3,2
30200,3,2
30300,3,2
30400,3,2
30500,3,2
30600,3,2
30700,3,2
30800,3,2
30900,3,2
31000,3,2
31100,3,2
31200,3,2
31300,3,2
31400,3,2
31500,3,2
31600,3,2
31700,3,2
31800,3,3
31900,3,3
32000,3,3
32100,3,3
32200,3,3
32300,3,3
32400,3,2
32500,3,2
32600,3,3
32700,4,3
32800,3,2
32900,3,2
33000,3,3
33100,4,3
33200,4,3
33300,4,3
33400,4,3
33500,4,3
33600,4,3
33700,4,3
33800,3,3
33900,3,3
34000,3,3
34100,3,3
34200,4,3
34300,3,3
34400,3,3
34500,3,3
34600,3,3
34700,3,3
34800,3,3
34900,3,3
35000,4,3
35100,4,3
35200,5,3
35300,4,3
35400,4,3
35500,5,4
35600,5,4
35700,5,3
35800,5,4
35900,5,3
36000,5,3
36100,5,3
36200,5,4
36300,5,4
36400,5,3
36500,5,4
36600,5,4
36700,5,4
36800,4,3
36900,4,3
37000,4,3
37100,4,3
37200,4,3
37300,4,3
37400,4,3
37500,4,3
37600,4,3
37700,3,3
37800,3,3
37900,4,3
38000,4,3
38100,4,3
38200,4,3
38300,4,3
38400,3,2
38500,3,2
38600,3,3
38700,3,3
38800,3,3
38900,3,3
39000,3,3
39100,3,3
39200,3,3
39300,3,3
39400,3,2
39500,3,2
39600,3,2
39700,3,2
39800,4,3
39900,3,3
40000,3,3
40100,4,3
40200,3,3
40300,4,3
40400,4,3
40500,3,3
40600,4,3
40700,4,3
40800,4,3
40900,4,3
41000,4,3
41100,4,3
41200,4,3
41300,3,3
41400,3,3
41500,3,3
41600,3,3
41700,3,3
41800,3,3
41900,3,3
42000,3,3
42100,3,3
42200,4,3
42300,4,3
42400,4,3
42500,4,3
42600,4,3
42700,4,3
42800,4,3
