size,merge,hybrid
500,0,0
600,0,0
700,0,0
800,0,0
900,0,0
1000,0,0
1100,0,0
1200,0,0
1300,0,0
1400,0,0
1500,0,0
1600,0,0
1700,0,0
1800,0,0
1900,0,0
2000,0,0
2100,0,0
2200,0,0
2300,0,0
2400,0,0
2500,0,0
2600,0,0
2700,0,0
2800,0,0
2900,0,0
3000,0,0
3100,0,0
3200,0,0
3300,0,0
3400,0,0
3500,0,0
3600,0,0
3700,0,0
3800,0,0
3900,0,0
4000,0,0
4100,0,0
4200,0,0
4300,0,0
4400,0,0
4500,0,0
4600,0,0
4700,0,0
4800,0,0
4900,0,0
5000,0,0
5100,0,0
5200,0,0
5300,0,0
5400,0,0
5500,0,0
5600,0,0
5700,0,0
5800,0,0
5900,0,0
6000,0,0
6100,0,0
6200,0,0
6300,0,0
6400,0,0
6500,0,0
6600,0,0
6700,0,0
6800,0,0
6900,0,0
7000,0,0
7100,0,0
7200,0,0
7300,0,0
7400,0,0
7500,0,0
7600,0,0
7700,0,0
7800,0,0
7900,0,0
8000,0,0
8100,0,0
8200,0,0
8300,1,0
8400,1,0
8500,1,0
8600,1,0
8700,1,0
8800,1,0
8900,1,0
9000,1,0
9100,1,0
9200,1,1
9300,1,1
9400,1,1
9500,1,1
9600,1,1
9700,1,1
9800,1,1
9900,1,1
10000,1,1
10100,1,1
10200,1,1
10300,1,1
10400,1,1
10500,1,1
10600,1,1
10700,1,1
10800,1,1
10900,1,1
11000,1,1
11100,1,1
11200,1,1
11300,1,1
11400,1,1
11500,1,1
11600,1,1
11700,1,1
11800,1,1
11900,1,1
12000,1,1
12100,1,1
12200,1,1
12300,1,1
12400,1,1
12500,1,1
12600,1,1
12700,1,1
12800,1,1
12900,1,1
13000,1,1
13100,1,1
13200,1,1
13300,1,1
13400,1,1
13500,1,1
13600,1,1
13700,1,1
13800,1,1
13900,1,1
14000,1,1
14100,1,1
14200,1,1
14300,1,1
14400,1,1
14500,1,1
14600,1,1
14700,1,1
14800,1,1
14900,1,1
15000,1,1
15100,1,1
15200,2,1
15300,2,1
15400,2,1
15500,2,1
15600,2,1
15700,2,1
15800,2,1
15900,2,1
16000,2,1
16100,2,1
16200,2,1
16300,2,1
16400,2,1
16500,2,1
16600,2,1
16700,2,1
16800,2,2
16900,2,2
17000,2,2
17100,2,2
17200,2,2
17300,2,2
17400,2,2
17500,2,2
17600,2,2
17700,2,2
17800,2,2
17900,2,2
18000,2,2
18100,2,2
18200,2,2
18300,2,2
18400,2,2
18500,2,2
18600,2,2
18700,2,2
18800,2,2
18900,2,2
19000,2,2
19100,2,2
19200,2,2
19300,2,2
19400,2,2
19500,2,2
19600,2,2
19700,2,2
19800,2,2
19900,2,2
20000,2,2
20100,2,2
20200,2,2
20300,2,2
20400,2,2
20500,2,2
20600,2,2
20700,2,2
20800,2,2
20900,2,2
21000,2,2
21100,2,2
21200,2,2
21300,2,2
21400,2,2
21500,2,2
21600,3,2
21700,2,2
21800,3,2
21900,3,2
22000,3,2
22100,3,2
22200,3,2
22300,3,2
22400,3,2
22500,3,2
22600,3,2
22700,3,2
22800,3,2
22900,3,2
23000,3,2
23100,3,2
23200,3,2
23300,3,2
23400,3,2
23500,3,2
23600,3,2
23700,3,2
23800,3,2
23900,3,2
24000,3,2
24100,3,2
24200,3,2
24300,3,2
24400,3,2
24500,3,2
24600,3,3
24700,3,3
24800,3,3
24900,3,3
25000,3,3
25100,3,3
25200,3,3
25300,3,3
25400,3,3
25500,3,3
25600,3,3
25700,3,3
25800,3,3
25900,3,3
26000,3,3
26100,3,3
26200,3,3
26300,3,3
26400,3,3
26500,3,3
26600,3,3
26700,3,3
26800,3,3
26900,3,3
27000,3,3
27100,3,3
27200,3,3
27300,3,3
27400,3,3
27500,3,3
27600,3,3
27700,3,3
27800,3,3
27900,3,3
28000,3,3
28100,3,3
28200,3,3
28300,3,3
28400,3,3
28500,3,3
28600,3,3
28700,4,3
28800,4,3
28900,4,3
29000,4,3
29100,4,3
29200,4,3
29300,4,3
29400,4,3
29500,4,3
29600,4,3
29700,4,3
29800,4,3
29900,4,3
30000,4,3
30100,4,3
30200,4,3
30300,4,3
30400,4,4
30500,4,4
30600,4,4
30700,4,4
30800,4,4
30900,4,4
31000,4,4
31100,4,4
31200,4,4
31300,4,4
31400,4,4
31500,4,4
31600,4,4
31700,5,4
31800,5,4
31900,5,4
32000,5,4
32100,5,4
32200,5,4
32300,5,4
32400,5,4
32500,5,4
32600,5,4
32700,5,4
32800,5,4
32900,5,4
33000,5,4
33100,5,4
33200,5,4
33300,5,4
33400,5,5
33500,5,5
33600,5,5
33700,5,5
33800,5,5
33900,5,5
34000,5,5
34100,5,5
34200,5,5
34300,5,5
34400,5,5
34500,5,5
34600,5,5
34700,5,5
34800,5,5
34900,6,5
35000,6,5
35100,6,5
35200,6,5
35300,6,5
35400,6,5
35500,6,5
35600,6,5
35700,6,5
35800,6,5
35900,6,5
36000,6,5
36100,6,6
36200,6,6
36300,6,6
36400,6,6
36500,6,6
36600,6,6
36700,6,6
36800,6,5
36900,6,5
37000,6,5
37100,6,5
37200,6,5
37300,6,5
37400,6,5
37500,6,5
37600,6,5
37700,6,5
37800,6,5
37900,6,5
38000,6,5
38100,6,5
38200,6,5
38300,6,5
38400,6,5
38500,6,5
38600,6,5
38700,6,5
38800,6,5
38900,6,5
39000,6,5
39100,6,5
39200,6,5
39300,6,6
39400,6,6
39500,7,6
39600,6,6
39700,6,5
39800,6,6
39900,6,6
40000,6,6
40100,6,6
40200,6,6
40300,6,6
40400,6,6
40500,6,5
40600,6,5
40700,6,6
40800,6,6
40900,7,6
41000,6,6
41100,6,6
41200,6,6
41300,6,6
41400,6,6
41500,7,6
41600,6,6
41700,6,6
41800,6,6
41900,6,6
42000,6,6
42100,7,6
42200,7,6
42300,7,6
42400,7,6
42500,7,6
42600,7,6
42700,7,6
42800,7,6
